127.0.0.1, 2010-10-29 12:08:00, GET, /, HTTP/1.1, 303, 0.000748
127.0.0.1, 2010-10-29 12:08:01, GET, /welcome/default/index, HTTP/1.1, 200, 0.644289
127.0.0.1, 2010-10-29 12:08:01, GET, /welcome/static/jquery.js, HTTP/1.1, 200, 0.001679
127.0.0.1, 2010-10-29 12:08:01, GET, /welcome/static/calendar.css, HTTP/1.1, 200, 0.002913
127.0.0.1, 2010-10-29 12:08:01, GET, /welcome/static/base.css, HTTP/1.1, 200, 0.002972
127.0.0.1, 2010-10-29 12:08:01, GET, /welcome/static/calendar.js, HTTP/1.1, 200, 0.002978
127.0.0.1, 2010-10-29 12:08:01, GET, /welcome/static/superfish.js, HTTP/1.1, 200, 0.001625
127.0.0.1, 2010-10-29 12:08:01, GET, /welcome/static/images/background.png, HTTP/1.1, 200, 0.000546
127.0.0.1, 2010-10-29 12:08:01, GET, /welcome/static/images/header.png, HTTP/1.1, 200, 0.000675
127.0.0.1, 2010-10-29 12:08:06, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000456
127.0.0.1, 2010-10-29 12:09:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.053620
127.0.0.1, 2010-10-29 12:09:15, GET, /welcome/static/calendar.css, HTTP/1.1, 304, 0.001927
127.0.0.1, 2010-10-29 12:09:15, GET, /welcome/static/calendar.js, HTTP/1.1, 304, 0.001740
127.0.0.1, 2010-10-29 12:09:15, GET, /welcome/static/jquery.js, HTTP/1.1, 304, 0.001745
127.0.0.1, 2010-10-29 12:09:15, GET, /welcome/static/superfish.js, HTTP/1.1, 304, 0.002012
127.0.0.1, 2010-10-29 12:09:15, GET, /welcome/static/base.css, HTTP/1.1, 304, 0.001039
127.0.0.1, 2010-10-29 12:09:15, GET, /welcome/static/images/header.png, HTTP/1.1, 304, 0.000442
127.0.0.1, 2010-10-29 12:09:15, GET, /welcome/static/images/background.png, HTTP/1.1, 304, 0.000538
127.0.0.1, 2010-10-29 12:09:17, GET, /admin/default/index, HTTP/1.1, 200, 0.413342
127.0.0.1, 2010-10-29 12:09:17, GET, /admin/static/jquery.js, HTTP/1.1, 200, 0.000968
127.0.0.1, 2010-10-29 12:09:17, GET, /admin/static/calendar.js, HTTP/1.1, 200, 0.000503
127.0.0.1, 2010-10-29 12:09:17, GET, /admin/static/calendar.css, HTTP/1.1, 200, 0.000895
127.0.0.1, 2010-10-29 12:09:17, GET, /admin/static/styles.css, HTTP/1.1, 200, 0.001653
127.0.0.1, 2010-10-29 12:09:17, GET, /admin/static/title.png, HTTP/1.1, 200, 0.000401
127.0.0.1, 2010-10-29 12:09:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000446
127.0.0.1, 2010-10-29 12:09:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000442
127.0.0.1, 2010-10-29 12:09:19, POST, /admin/default/index, HTTP/1.1, 303, 0.021644
127.0.0.1, 2010-10-29 12:09:19, GET, /admin/default/site, HTTP/1.1, 200, 0.033687
127.0.0.1, 2010-10-29 12:09:19, GET, /admin/static/calendar.js, HTTP/1.1, 304, 0.001368
127.0.0.1, 2010-10-29 12:09:19, GET, /admin/static/calendar.css, HTTP/1.1, 304, 0.000793
127.0.0.1, 2010-10-29 12:09:19, GET, /admin/static/styles.css, HTTP/1.1, 304, 0.002515
127.0.0.1, 2010-10-29 12:09:19, GET, /admin/static/jquery.js, HTTP/1.1, 304, 0.000341
127.0.0.1, 2010-10-29 12:09:19, GET, /admin/static/title.png, HTTP/1.1, 304, 0.001276
127.0.0.1, 2010-10-29 12:09:19, POST, /admin/default/check_version, HTTP/1.1, 200, 0.372992
127.0.0.1, 2010-10-29 12:09:20, GET, /admin/default/twitter, HTTP/1.1, 200, 1.413631
127.0.0.1, 2010-10-29 12:09:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000373
127.0.0.1, 2010-10-29 12:09:45, POST, /admin/default/site, HTTP/1.1, 303, 0.129534
127.0.0.1, 2010-10-29 12:09:45, GET, /admin/default/site, HTTP/1.1, 200, 0.032705
127.0.0.1, 2010-10-29 12:09:45, GET, /admin/static/styles.css, HTTP/1.1, 304, 0.000345
127.0.0.1, 2010-10-29 12:09:45, GET, /admin/static/calendar.js, HTTP/1.1, 304, 0.001095
127.0.0.1, 2010-10-29 12:09:45, GET, /admin/static/calendar.css, HTTP/1.1, 304, 0.003577
127.0.0.1, 2010-10-29 12:09:45, GET, /admin/static/jquery.js, HTTP/1.1, 304, 0.000709
127.0.0.1, 2010-10-29 12:09:45, GET, /admin/static/title.png, HTTP/1.1, 304, 0.000439
127.0.0.1, 2010-10-29 12:09:46, GET, /admin/default/twitter, HTTP/1.1, 200, 1.380510
127.0.0.1, 2010-10-29 12:09:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000422
